indicado,quorum,favoraveis,contrarios,abstencoes,ausencias
Ellen Gracie,23.0,23.0,0.0,0.0,0.0
Gilmar Mendes,23.0,16.0,6.0,0.0,1.0
Cezar Peluso,23.0,19.0,0.0,2.0,2.0
Ayres Britto,23.0,20.0,0.0,1.0,2.0
Joaquim Barbosa,23.0,21.0,0.0,0.0,2.0
Eros Grau,23.0,20.0,0.0,0.0,3.0
Ricardo Lewandowski,23.0,22.0,1.0,0.0,0.0
Cármen Lúcia,23.0,23.0,0.0,0.0,0.0
Menezes Direito,23.0,22.0,0.0,1.0,0.0
Dias Toffoli,23.0,20.0,3.0,0.0,0.0
Luiz Fux,23.0,23.0,0.0,0.0,0.0
Rosa Weber,23.0,19.0,3.0,0.0,1.0
Teori Zavascki,23.0,18.0,1.0,0.0,4.0
Luís Roberto Barroso,27.0,26.0,1.0,0.0,0.0
Edson Fachin,27.0,20.0,7.0,0.0,0.0
Alexandre de Moraes,27.0,19.0,7.0,0.0,1.0
Nunes Marques,27.0,22.0,5.0,0.0,0.0
André Mendonça,27.0,18.0,9.0,0.0,0.0
Cristiano Zanin,27.0,21.0,5.0,0.0,1.0
Flávio Dino,27.0,17.0,10.0,0.0,0.0
