indicado,sem_pauta,adiada,vista,interstic
Paulo Brossard,,Não,Não,
Sepúlveda Pertence,,Sim,Não,
Celso de Mello,,Não,Não,
Carlos Velloso,,Não,Não,
Marco Aurélio de Mello,,Não,Não,
Ilmar Galvão,Não,Não,Não,Sim
Maurício Corrêa,Não,Não,Não,Sim
Nelson Jobim,Não,Não,Não,Sim
Ellen Gracie,Não,Não,Não,Sim
Gilmar Mendes,Sim,Sim,Sim,Sim
Cezar Peluso,Não,Não,Não,Não
Ayres Britto,Não,Não,Não,Não
Joaquim Barbosa,Não,Não,Não,Não
Eros Grau,Não,Não,Não,Não
Ricardo Lewandowski,Não,Não,Não,Não
Cármen Lúcia,Não,Não,Não,Não
Menezes Direito,Não,Não,Não,Sim
Dias Toffoli,Não,Não,Sim,Sim
Luiz Fux,Não,Não,Não,Sim
Rosa Weber,Não,Sim,Sim,Não
Teori Zavascki,Sim,Não,Sim,Não
Luís Roberto Barroso,Sim,Não,Sim,Sim
Edson Fachin,Não,Não,Sim,Não
Alexandre de Moraes,Não,Não,Sim,Sim
Nunes Marques,Não,Não,Não,Sim
André Mendonça,Não,Não,Não,Sim
Cristiano Zanin,Não,Não,Sim,Sim
Flávio Dino,Não,Não,Sim,Sim
