indicado,quorum,favoraveis,contrarios,abstencoes,ausencias
Sepúlveda Pertence,81,50,1,1,29
Celso de Mello,81,47,3,1,30
Carlos Velloso,81,49,1,3,28
Marco Aurélio de Mello,81,50,3,1,27
Ilmar Galvão,81,48,0,0,33
Maurício Corrêa,81,48,3,0,30
Nelson Jobim,81,60,3,1,17
Ellen Gracie,81,67,0,2,12
Gilmar Mendes,81,57,15,0,9
Cezar Peluso,81,57,3,1,20
Ayres Britto,81,65,3,2,11
Joaquim Barbosa,81,66,3,1,11
Eros Grau,81,57,5,3,16
Ricardo Lewandowski,81,63,4,0,14
Cármen Lúcia,81,55,1,0,25
Menezes Direito,81,61,2,1,17
Dias Toffoli,81,58,9,3,11
Luiz Fux,81,68,2,0,11
Rosa Weber,81,57,14,1,9
Teori Zavascki,81,57,4,0,20
Luís Roberto Barroso,81,59,6,0,16
Edson Fachin,81,52,27,0,2
Alexandre de Moraes,81,55,13,0,13
Nunes Marques,81,57,10,1,13
André Mendonça,81,47,32,0,2
Cristiano Zanin,81,58,18,0,5
Flávio Dino,81,47,31,2,1
