indicado,tempo_total,tempo_distribuicao
Paulo Brossard,20,7
Sepúlveda Pertence,52,2
Celso de Mello,32,0
Carlos Velloso,22,5
Marco Aurélio de Mello,20,2
Ilmar Galvão,11,1
Maurício Corrêa,16,15
Nelson Jobim,8,1
Ellen Gracie,21,6
Gilmar Mendes,27,12
Cezar Peluso,20,1
Ayres Britto,20,1
Joaquim Barbosa,20,1
Eros Grau,26,1
Ricardo Lewandowski,7,1
Cármen Lúcia,9,0
Menezes Direito,1,0
Dias Toffoli,12,0
Luiz Fux,6,6
Rosa Weber,35,9
Teori Zavascki,49,0
Luís Roberto Barroso,12,4
Edson Fachin,27,0
Alexandre de Moraes,15,2
Nunes Marques,12,0
André Mendonça,105,101
Cristiano Zanin,9,0
Flávio Dino,16,0
